iter	Passed	Remaining
829	8202	1679
830	8213	1670
831	8222	1660
832	8231	1650
833	8239	1640
834	8249	1630
835	8258	1620
836	8267	1610
837	8276	1599
838	8284	1589
839	8293	1579
840	8302	1569
841	8311	1559
842	8319	1549
843	8328	1539
844	8339	1529
845	8350	1520
846	8360	1510
847	8369	1500
848	8379	1490
849	8388	1480
850	8396	1470
851	8405	1460
852	8414	1450
853	8423	1440
854	8431	1429
855	8440	1419
856	8449	1409
857	8457	1399
858	8466	1389
859	8475	1379
860	8483	1369
861	8492	1359
862	8501	1349
863	8509	1339
864	8518	1329
865	8527	1319
866	8536	1309
867	8546	1299
868	8559	1290
869	8570	1280
870	8579	1270
871	8588	1260
872	8597	1250
873	8606	1240
874	8615	1230
875	8623	1220
876	8632	1210
877	8641	1200
878	8650	1190
879	8658	1180
880	8667	1170
881	8676	1160
882	8685	1150
883	8694	1140
884	8703	1130
885	8712	1121
886	8721	1111
887	8730	1101
888	8738	1091
889	8749	1081
890	8760	1071
891	8771	1062
892	8780	1052
893	8789	1042
894	8798	1032
895	8807	1022
896	8815	1012
897	8825	1002
898	8833	992
899	8842	982
900	8851	972
901	8860	962
902	8868	952
903	8877	942
904	8886	932
905	8894	922
906	8903	912
907	8911	902
908	8920	893
909	8929	883
910	8938	873
911	8947	863
912	8961	853
913	8971	844
914	8980	834
915	8990	824
916	8999	814
917	9007	804
918	9016	794
919	9025	784
920	9033	774
921	9041	764
922	9050	755
923	9059	745
924	9068	735
925	9076	725
926	9085	715
927	9094	705
928	9102	695
929	9111	685
930	9119	675
931	9128	666
932	9137	656
933	9147	646
934	9157	636
935	9170	627
936	9179	617
937	9188	607
938	9197	597
939	9206	587
940	9215	577
941	9223	567
942	9232	558
943	9240	548
944	9249	538
945	9258	528
946	9267	518
947	9275	508
948	9284	498
949	9292	489
950	9301	479
951	9310	469
952	9318	459
953	9327	449
954	9335	439
955	9344	430
956	9359	420
957	9370	410
958	9379	401
959	9388	391
960	9397	381
961	9406	371
962	9417	361
963	9425	351
964	9434	342
965	9442	332
966	9451	322
967	9460	312
968	9468	302
969	9477	293
970	9487	283
971	9496	273
972	9506	263
973	9514	253
974	9523	244
975	9533	234
976	9542	224
977	9553	214
978	9565	205
979	9575	195
980	9584	185
981	9593	175
982	9601	166
983	9610	156
984	9619	146
985	9628	136
986	9636	126
987	9645	117
988	9654	107
989	9663	97
990	9674	87
991	9682	78
992	9691	68
993	9700	58
994	9709	48
995	9718	39
996	9726	29
997	9735	19
998	9749	9
999	9761	0
